pl_name
"HD 189733 b"
"HD 189733 b"
"HD 209458 b"
"HD 209458 b"
"HD 209458 b"
"HD 209458 b"
"HD 209458 b"
"HD 209458 b"
"Qatar-1 b"
"WASP-19 b"
"TrES-3 b"
"TrES-3 b"
"TrES-4 b"
"WASP-10 b"
"WASP-19 b"
"WASP-12 b"
"WASP-19 b"
"WASP-19 b"
"WASP-24 b"
"WASP-19 b"
"WASP-19 b"
"WASP-19 b"
"WASP-19 b"
"WASP-19 b"
"WASP-19 b"
"WASP-21 b"
"WASP-29 b"
"WASP-31 b"
"WASP-31 b"
"WASP-33 b"
"WASP-33 b"
"WASP-36 b"
"WASP-39 b"
"WASP-39 b"
"WASP-39 b"
"WASP-39 b"
"WASP-26 b"
"WASP-33 b"
"WASP-33 b"
"WASP-39 b"
"WASP-39 b"
"WASP-43 b"
"WASP-43 b"
"WASP-45 b"
"WASP-45 b"
"WASP-45 b"
"WASP-46 b"
"WASP-46 b"
"WASP-48 b"
"WASP-48 b"
"WASP-4 b"
"WASP-4 b"
"WASP-4 b"
"WASP-4 b"
"WASP-5 b"
"WASP-8 b"
"XO-1 b"
"XO-1 b"
"XO-1 b"
"XO-2 N b"
"XO-2 N b"
"XO-3 b"
"WASP-79 b"
"WASP-79 b"
"WASP-79 b"
"KELT-1 b"
"KELT-1 b"
"GJ 3470 b"
"GJ 3470 b"
"WASP-57 b"
"WASP-57 b"
"WASP-52 b"
"WASP-80 b"
"WASP-80 b"
"WASP-80 b"
"WASP-103 b"
"WASP-103 b"
"WASP-96 b"
"WASP-117 b"
"K2-3 c"
"K2-3 d"
"WASP-74 b"
"K2-18 b"
"K2-26 b"
"WASP-76 b"
"WASP-121 b"
"WASP-121 b"
"WASP-127 b"
"TRAPPIST-1 g"
"KELT-11 b"
"KELT-9 b"
"WASP-107 b"
"GJ 486 b"
"Kepler-18 c"
"Kepler-61 b"
"KOI-13 b"
"Kepler-102 e"
"Kepler-125 b"
"Kepler-125 b"
"Kepler-62 e"
"Kepler-249 d"
"KOI-94 d"
"Kepler-61 b"
"Kepler-26 c"
"Kepler-236 c"
"HD 189733 b"
"55 Cnc e"
"55 Cnc e"
"55 Cnc e"
"CoRoT-1 b"
"CoRoT-2 b"
"GJ 1214 b"
"GJ 1214 b"
"GJ 1214 b"
"GJ 436 b"
"GJ 436 b"
"HAT-P-12 b"
"HAT-P-12 b"
"HAT-P-12 b"
"HAT-P-12 b"
"HAT-P-12 b"
"HAT-P-13 b"
"HAT-P-14 b"
"HAT-P-14 b"
"HAT-P-14 b"
"HAT-P-19 b"
"HAT-P-19 b"
"HAT-P-1 b"
"HAT-P-1 b"
"HAT-P-1 b"
"HAT-P-1 b"
"HAT-P-1 b"
"HAT-P-23 b"
"HAT-P-26 b"
"HAT-P-26 b"
"HAT-P-26 b"
"HAT-P-32 b"
"WASP-101 b"
"K2-3 b"
"WASP-74 b"
"K2-18 b"
"GJ 1132 b"
"GJ 1132 b"
"WASP-76 b"
"WASP-127 b"
"Kepler-18 c"
"Kepler-410 A b"
"Kepler-94 b"
